Design #,C.O.F. ,Epsilon,S.H.,W,L ,F.P.L,F.P.W,F.L,F.W,O.O.F ,BW,S11,Directivity,Gain,Efficency,
56,2400,2.33,1.789,35.25,40,26.66,17.625,0,0,2401,72,8.373,7.065,5.438,68.8,
57,2400,3,1,44.194,35.799,11.933,22.097,0,0,2410,261,3.426,6.513,3.869,54.4,
58,2400,3,1.05,44.394,35.999,11.999,22.197,0,0,2396,261,3.451,6.52,4.001,56,
59,2400,3,1.1,44.594,36.199,12.06633333,22.297,0,0,2382,260,3.477,6.528,4.13,57.6,
60,2400,3,1.15,44.794,36.399,12.133,22.397,0,0,2368,260,3.504,6.536,4.257,59.2,
61,2400,3,1.2,44.994,36.599,12.19966667,22.497,0,0,2358,237,3.608,6.545,4.365,60.5,
62,2400,3,1.25,45.194,36.799,12.26633333,22.597,0,0,2338,248,3.603,6.555,4.556,63.1,
63,2400,3,1.3,45.394,36.999,12.333,22.697,0,0,2325,245,3.635,6.563,4.669,64.7,
64,2400,3,1.35,45.594,37.199,12.39966667,22.797,0,0,2312,245,3.665,6.571,4.779,66.2,
65,2400,3,1.4,45.794,37.399,12.46633333,22.897,0,0,2299,244,3.696,6.579,4.887,67.7,
66,2400,3,1.45,45.994,37.599,12.533,22.997,0,0,2286,239,3.727,6.587,4.99,69.2,
67,2400,3,1.5,46.194,37.799,12.59966667,23.097,0,0,2273,239,3.759,6.595,5.09,70.7,
68,2400,3,1.55,43.994,35.599,11.86633333,21.997,0,0,2408,268,3.81,6.562,3.977,55.1,
69,2400,3,1.6,43.794,35.399,11.79966667,21.897,0,0,2419,268,3.856,6.564,3.881,53.1,
70,2400,3,1.65,43.594,35.199,11.733,21.797,0,0,2431,270,3.904,6.566,3.783,52.7,
71,2400,3,1.7,43.394,34.999,11.66633333,21.697,0,0,2443,271,3.953,6.568,3.683,51.5,
72,2400,3,1.75,43.194,34.799,11.59966667,21.597,0,0,2453,274,4.003,6.57,3.582,50.3,
73,2400,3,1.8,42.994,34.599,11.533,21.497,0,0,2465,276,4.053,6.572,3.479,49.1,
74,2400,3,1.85,42.794,34.399,11.46633333,21.397,0,0,2477,279,4.106,6.574,3.374,47.9,
75,2400,3,1.9,42.594,34.199,11.39966667,21.297,0,0,2488,276,4.16,6.576,3.268,46.7,
76,2400,3,1.95,42.394,33.999,11.333,21.197,0,0,2500,278,4.213,6.578,3.162,45.5,
77,2400,3,2,42.194,33.799,11.26633333,21.097,0,0,2541,284,3.596,6.505,2.833,42.9,
78,2400,3,1.05,43.994,35.599,11.86633333,21.997,0,0,2422,265,3.458,6.515,3.789,53.4,
79,2400,3,1.1,43.794,35.399,11.79966667,21.897,0,0,2434,268,3.495,6.517,3.701,52.3,
